method,target,horizon,n_origins,MAE,RMSE,skill_vs_persistence
persistence,WVHT,1,1078554,0.08606483324005645,0.1351564527679954,0.0
seasonal_naive,WVHT,1,1078554,0.4160442501614904,0.6573733081971315,-3.834079547926833
ar24,WVHT,1,1078554,0.08282384162482065,0.1293895844418328,0.03765755992573483
persistence,WVHT,3,1077600,0.13829652944387338,0.2171714891994473,0.0
seasonal_naive,WVHT,3,1077600,0.4160836118989318,0.6574618755718517,-2.008633792706969
ar24,WVHT,3,1077600,0.1329085867430187,0.20728315137206746,0.038959348600583255
persistence,WVHT,6,1076607,0.20520198193498246,0.32621519735396215,0.0
seasonal_naive,WVHT,6,1076607,0.41610408457022796,0.6575538614050092,-1.0277780976894713
ar24,WVHT,6,1076607,0.19663110655333346,0.30928702343632436,0.04176799512767204
persistence,WVHT,12,1075089,0.2962533708711786,0.4737625494878102,0.0
seasonal_naive,WVHT,12,1075089,0.41604164881386874,0.6576630653754696,-0.4043440167125669
ar24,WVHT,12,1075089,0.28030518429342866,0.4387348955230614,0.05383292865445488
persistence,WVHT,24,1072530,0.4158764232073019,0.6578337730197857,0.0
seasonal_naive,WVHT,24,1072530,0.4158764232073019,0.6578337730197857,0.0
ar24,WVHT,24,1072530,0.37824562264971057,0.5766215452498151,0.09048553478308985
persistence,APD,1,1014338,0.2357279031995702,0.35220449575448554,0.0
seasonal_naive,APD,1,1014338,0.8843744191947287,1.2306208423320188,-2.751674736808761
ar24,APD,1,1014338,0.22865619021162034,0.34103411098225167,0.02999947351147003
persistence,APD,3,1013572,0.38620879402547564,0.5709188594500547,0.0
seasonal_naive,APD,3,1013572,0.8842307202728543,1.2305087759304159,-1.2895147235164393
ar24,APD,3,1013572,0.3688335802032927,0.5392870930724929,0.044989171896062
persistence,APD,6,1012725,0.5501386754922246,0.7932836109810697,0.0
seasonal_naive,APD,6,1012725,0.8840376702595424,1.230341220980816,-0.6069360502032854
ar24,APD,6,1012725,0.5105570490402475,0.724500303341493,0.07194845266343497
persistence,APD,12,1011401,0.7235452703355584,1.0211410698456327,0.0
seasonal_naive,APD,12,1011401,0.8837464958422353,1.2300487872111947,-0.22141147496186453
ar24,APD,12,1011401,0.6542421553473541,0.9076159019943936,0.09578269367452796
persistence,APD,24,1009150,0.8838043498173108,1.2301796114862829,0.0
seasonal_naive,APD,24,1009150,0.8838043498173108,1.2301796114862829,0.0
ar24,APD,24,1009150,0.789301641899551,1.071325646406665,0.10692718126731815
